date,active_flag,health_index,risk_level,risk_score,p_critical_next_7d,weekly_forecast_level,rolling_7d_episode_count,rolling_7d_fault_duration,episode_trend_slope_14d,critical_next_7d
2016-07-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-31,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-08-31,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-09-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-10-31,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-11-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
