day_index,moving_samples,is_operational
998,8640,True
999,5905,True
1000,8640,True
1001,6104,True
1002,8640,True
1003,8439,True
1004,8640,True
1005,7807,True
1006,8359,True
1007,7799,True
1008,8610,True
1009,7722,True
1010,8640,True
1011,8640,True
1012,8640,True
1013,8107,True
1014,8640,True
1015,8623,True
1016,8640,True
1017,5526,True
1018,8640,True
1019,7648,True
1020,8640,True
1021,4418,True
1022,8640,True
1023,8640,True
1024,8640,True
1025,8640,True
1026,8640,True
1027,8640,True
1028,8640,True
1029,8106,True
1030,8640,True
1031,6092,True
1032,8360,True
1033,7547,True
1034,8610,True
1035,5220,True
1036,8640,True
1037,5640,True
1038,8509,True
1039,5475,True
1040,8640,True
1041,5701,True
1042,8407,True
1043,6245,True
1044,8640,True
1045,5713,True
1046,8639,True
1047,5719,True
1048,8640,True
1049,8210,True
1050,8640,True
1051,6216,True
1052,8452,True
1053,5887,True
1054,8640,True
1055,6544,True
1056,8333,True
1057,7581,True
1058,8632,True
1059,8638,True
1060,8640,True
1061,8639,True
1062,8640,True
1063,8637,True
1064,8640,True
1065,8640,True
1066,8640,True
1067,8640,True
1068,8627,True
1069,5797,True
1070,8273,True
1071,6469,True
1072,8640,True
1073,8640,True
1074,8640,True
1075,6225,True
1076,8640,True
1077,8636,True
1078,8640,True
1079,6977,True
1080,8640,True
1081,6307,True
1082,8640,True
1083,6980,True
1084,8640,True
1085,8617,True
1086,8640,True
1087,8637,True
1088,8640,True
1089,8638,True
1090,8640,True
1091,8640,True
1092,8640,True
1093,8638,True
1094,8640,True
1095,6546,True
1096,8639,True
1097,8640,True
1098,8640,True
1099,8149,True
1100,8639,True
1101,8638,True
1102,8640,True
1103,8638,True
1104,8640,True
1105,8636,True
1106,8639,True
1107,8637,True
1108,8577,True
1109,2779,True
1110,8452,True
1111,2440,True
1112,7921,True
1113,1532,True
1114,7964,True
1115,1761,True
1116,7905,True
1117,1692,True
1118,7951,True
1119,4647,True
1120,7974,True
1121,1217,True
1122,8186,True
1123,8443,True
1124,2358,True
1125,8217,True
1126,1968,True
1127,7907,True
1128,3659,True
1129,5456,True
1130,8466,True
1131,4741,True
1132,8640,True
1133,4567,True
1134,8363,True
1135,6115,True
1136,7907,True
1137,5534,True
1138,8638,True
1139,2548,True
1140,7906,True
1141,4680,True
1142,8640,True
1143,6270,True
1144,8640,True
1145,7982,True
1146,8640,True
1147,5942,True
1148,8301,True
1149,5094,True
1150,8549,True
1151,4206,True
1152,8195,True
1153,6785,True
1154,8447,True
1155,4213,True
1156,8640,True
1157,3646,True
1158,8194,True
1159,3535,True
1160,7907,True
1161,5093,True
1162,7890,True
1163,3795,True
1164,7904,True
1165,6100,True
1166,7833,True
1167,3397,True
1168,7900,True
1169,6547,True
1170,7906,True
1171,5897,True
1172,8280,True
1173,4918,True
1174,7904,True
1175,7165,True
1176,8172,True
1177,7317,True
1178,8426,True
1179,6975,True
1180,8640,True
1181,5858,True
1182,8322,True
1183,3778,True
1184,7906,True
1185,3670,True
1186,7887,True
1187,7300,True
1188,8467,True
1189,7064,True
1190,8640,True
1191,6733,True
1192,7899,True
1193,6487,True
1194,7905,True
1195,4818,True
1196,7891,True
1197,4667,True
1198,7905,True
1199,6038,True
1200,8150,True
1201,5801,True
1202,8640,True
1203,8415,True
1204,8640,True
1205,7737,True
1206,8623,True
1207,8588,True
1208,8547,True
1209,6685,True
1210,8193,True
1211,5347,True
1212,8445,True
1213,5413,True
1214,8640,True
1215,4388,True
1216,8640,True
1217,5864,True
1218,8586,True
1219,5192,True
1220,8235,True
1221,5992,True
1222,8485,True
1223,5367,True
1224,8640,True
1225,8160,True
1226,8640,True
1227,8640,True
1228,8640,True
1229,8640,True
1230,8640,True
1231,8524,True
1232,5002,True
1233,8169,True
1234,5199,True
1235,8421,True
1236,6965,True
1237,8640,True
1238,6695,True
1239,8317,True
1240,7307,True
1241,8640,True
1242,6251,True
1243,8210,True
1244,5113,True
1245,8461,True
1246,6807,True
1247,8640,True
1248,5248,True
1249,8625,True
1250,5305,True
1251,8601,True
1252,5884,True
1253,8251,True
1254,5611,True
1255,8635,True
1256,5998,True
1257,8142,True
1258,5818,True
1259,8640,True
1260,5777,True
1261,8639,True
1262,5536,True
1263,8637,True
1264,8632,True
1265,5368,True
1266,8536,True
1267,6538,True
1268,8182,True
1269,4561,True
1270,8433,True
1271,7199,True
1272,8640,True
1273,5191,True
1274,8329,True
1275,7969,True
1276,8572,True
1277,5320,True
1278,8638,True
1279,3582,True
1280,8469,True
1281,5243,True
1282,8640,True
1283,5153,True
1284,8368,True
1285,5376,True
1286,8612,True
1287,5789,True
1288,8262,True
1289,5969,True
1290,8510,True
1291,5295,True
1292,8154,True
1293,5560,True
1294,8406,True
1295,5364,True
1296,8640,True
1297,5566,True
1298,8301,True
1299,4772,True
1300,8547,True
1301,5192,True
1302,8194,True
1303,5123,True
1304,8444,True
1305,6756,True
1306,8640,True
1307,5480,True
1308,8340,True
1309,7589,True
1310,8585,True
1311,4808,True
1312,8234,True
1313,5037,True
1314,8483,True
1315,5484,True
1316,8125,True
1317,5611,True
1318,8378,True
1319,5399,True
1320,4881,True
1321,5057,True
1322,5330,True
1323,5491,True
1324,4405,True
1325,6471,True
1326,6800,True
1327,4668,True
1328,3858,True
1329,4891,True
1330,4890,True
1331,8637,True
1332,6920,True
1333,3708,True
1334,1270,True
1335,2718,True
1336,4949,True
1337,8579,True
1338,3497,True
1339,3539,True
1340,166,True
1341,165,True
1342,163,True
1343,162,True
1344,877,True
1345,8636,True
1346,6364,True
1347,8603,True
1348,4328,True
1349,4329,True
1350,8610,True
1351,8639,True
1352,8637,True
1353,8636,True
1354,8636,True
1355,8640,True
1356,8637,True
1357,8639,True
1358,8638,True
1359,8640,True
1360,8631,True
1361,8640,True
1362,8637,True
1363,8639,True
1364,8498,True
1365,6986,True
1366,8638,True
1367,8104,True
1368,7760,True
1369,7037,True
1370,2125,True
1371,6090,True
1372,8639,True
1373,8640,True
1374,8638,True
1375,8640,True
1376,8638,True
1377,8160,True
1378,8640,True
1379,8640,True
1380,8640,True
1381,8639,True
1382,8638,True
1383,8640,True
1384,8640,True
1385,3001,True
1386,8015,True
1387,8638,True
1388,8639,True
1389,8637,True
1390,8638,True
1391,8309,True
1392,8640,True
1393,8639,True
1394,8640,True
1395,8640,True
1396,8636,True
1397,8640,True
1398,7866,True
1399,8640,True
1400,8640,True
1401,8639,True
1402,8640,True
1403,8640,True
1404,8640,True
1405,8640,True
1406,8640,True
1407,8640,True
1408,8640,True
1409,8640,True
1410,8640,True
1411,8640,True
1412,8640,True
1413,8640,True
1414,8640,True
1415,8640,True
1416,8640,True
1417,8640,True
1418,8640,True
1419,8640,True
1420,8640,True
1421,8640,True
1422,8640,True
1423,8640,True
1424,8640,True
1425,8640,True
1426,8640,True
1427,8640,True
1428,8637,True
1429,8640,True
1430,8640,True
1431,8640,True
1432,8639,True
1433,8640,True
1434,8640,True
1435,8640,True
1436,8640,True
1437,8640,True
1438,8640,True
1439,8640,True
1440,8640,True
1441,8640,True
1442,8640,True
1443,8640,True
1444,8640,True
1445,8640,True
1446,8640,True
1447,8640,True
1448,8640,True
1449,8640,True
1450,8640,True
1451,8640,True
1452,8640,True
1453,8640,True
1454,8640,True
1455,8640,True
1456,8640,True
1457,8640,True
1458,8640,True
1459,8640,True
1460,8640,True
1461,8635,True
1462,8639,True
1463,8640,True
1464,8640,True
1465,8640,True
1466,8640,True
1467,8640,True
1468,8640,True
1469,8640,True
1470,8640,True
1471,8640,True
1472,8639,True
1473,8640,True
1474,8640,True
1475,8640,True
1476,8640,True
1477,8640,True
1478,8640,True
1479,8640,True
1480,8640,True
1481,8640,True
