date,total_rows,active_rows,active_ratio,upper_error_std,lower_error_std,upper_vel_std,lower_vel_std,upper_error_spikes,lower_error_spikes,upper_current_spikes,lower_current_spikes,is_operational_day,oscillation_score
2023-10-31,17280,15300,0.8854166666666666,50.367028068008715,0.4996884842728306,0.014069455120205649,0.09449430845613696,6743,0,0,0,True,0.567265346024107
2025-07-16,8640,8640,1.0,71.0213607264516,0.25635252035137224,0.016500065139268428,0.06202055024104791,3298,0,2342,0,True,0.5666047146259089
2025-05-04,8640,8640,1.0,74.65568138952497,0.29372582934735014,0.021686143799633635,0.048580043290885215,3902,0,815,0,True,0.5665827073367173
2025-04-24,8640,8640,1.0,71.81782312015697,0.2808692743910985,0.021495152597185672,0.06759800700597518,3893,0,720,0,True,0.5664415154019116
2024-01-08,17280,14320,0.8287037037037037,60.71635518255176,0.4967822271227546,0.013769493557162902,0.04366658629261311,0,0,249,6231,True,0.5652118979527182
2025-04-20,8640,8640,1.0,70.05186149710416,0.2676390200256587,0.019157799235510035,0.07852514518114267,3863,0,660,0,True,0.5632453243725899
2025-05-24,8640,8640,1.0,74.81712883854605,0.27725585129503033,0.019637417015719676,0.06305030235688937,3983,0,717,0,True,0.5631511388119371
2023-12-22,17280,14586,0.8440972222222223,61.08374173849895,0.4981664456221681,0.013681635877020084,0.028585928074815782,0,0,0,6570,True,0.5622782818108213
2024-01-06,17280,15186,0.8788194444444445,59.05455989559301,0.4996953948334841,0.01404646712093591,0.028723609108011527,1431,0,0,720,True,0.5622755257423082
2025-07-14,21131,21108,0.9989115517486158,46.630677620085606,0.48318674453132365,0.11444799330000525,0.3539993698441612,0,0,0,0,True,0.5622020492299167
2025-04-26,8640,8640,1.0,70.5253805032849,0.2561586039291692,0.017746612369197255,0.09357106682225136,3857,0,587,0,True,0.5620088877445387
2023-10-21,17280,14889,0.8616319444444445,60.28470534354148,0.4990590656162033,0.014496267956800785,0.04027409406015193,0,0,6979,0,True,0.5612345135405206
2025-04-19,8640,8640,1.0,75.74804691068074,0.27932897802073037,0.02186749767039835,0.04649014762886597,3803,0,709,0,True,0.5610989884127439
2024-01-04,17280,14768,0.8546296296296296,60.599930464637595,0.4989113516803588,0.013924710367520422,0.0314307028493626,0,0,0,6723,True,0.5605525273690359
2023-10-22,17280,14599,0.844849537037037,60.93911035929828,0.4988790919291984,0.014294564203482766,0.024712506659584906,0,0,6768,0,True,0.5603983862321535
2023-10-09,17280,14749,0.8535300925925926,60.46007113713676,0.49811055406666954,0.01348150282648368,0.04042135622761414,0,0,6713,0,True,0.5602784821663349
2023-09-09,17280,14883,0.8612847222222222,60.82472728881287,0.49897389759424876,0.013257862653554078,0.026049454927212466,0,0,6898,0,True,0.5601828865382399
2025-04-22,8171,7786,0.9528821441684004,70.05258309626045,0.27680446014975674,0.02233982412619205,0.046858410297997546,2669,0,633,0,True,0.5601553429245579
