axis,error_code,start_time,end_time,duration_sec,log_entries
Upper/X east,7490.0,2025-05-29 21:43:47.034,2025-05-29 21:44:42.971,55.937,3
Upper/X east,7490.0,2025-05-30 23:49:02.344,2025-05-30 23:50:01.290,58.946,2
Upper/X east,7490.0,2025-05-31 01:09:56.634,2025-05-31 01:10:09.516,12.882,2
Upper/X east,7490.0,2025-05-31 05:11:04.086,2025-05-31 05:11:16.424,12.338,2
Upper/X east,7490.0,2025-05-31 05:39:00.127,2025-05-31 05:39:48.108,47.981,4
Upper/X east,7490.0,2025-05-31 06:53:29.142,2025-05-31 06:54:20.422,51.28,5
Upper/X east,7490.0,2025-05-31 08:10:50.131,2025-05-31 08:11:05.210,15.079,2
Upper/X east,7490.0,2025-05-31 13:47:09.068,2025-05-31 13:47:32.920,23.852,2
Upper/X east,7490.0,2025-06-01 05:50:51.300,2025-06-01 05:51:53.263,61.963,6
Upper/X east,7490.0,2025-06-01 21:50:19.710,2025-06-01 21:53:18.996,179.286,13
Upper/X east,7490.0,2025-06-01 21:54:25.892,2025-06-01 21:56:37.491,131.599,11
Upper/X east,7490.0,2025-06-02 06:33:38.355,2025-06-02 06:34:15.095,36.74,4
Upper/X east,7490.0,2025-06-02 13:27:35.038,2025-06-02 13:27:47.101,12.063,2
Upper/X east,7490.0,2025-06-02 14:03:39.113,2025-06-02 14:03:52.824,13.711,2
Upper/X east,7490.0,2025-06-02 17:07:49.195,2025-06-02 17:08:29.779,40.584,2
Upper/X east,7490.0,2025-06-03 02:09:06.295,2025-06-03 02:09:18.081,11.786,2
Upper/X east,7490.0,2025-06-04 08:20:54.864,2025-06-04 08:21:12.137,17.273,2
Upper/X east,7490.0,2025-06-04 13:03:50.865,2025-06-04 13:04:16.087,25.222,3
Upper/X east,7490.0,2025-06-04 17:11:24.522,2025-06-04 17:11:36.865,12.343,2
Upper/X east,7490.0,2025-06-04 20:23:04.759,2025-06-04 20:23:27.792,23.033,2
Upper/X east,7490.0,2025-06-04 21:55:19.783,2025-06-04 21:55:55.968,36.185,4
Upper/X east,7490.0,2025-06-04 23:48:09.641,2025-06-04 23:52:20.789,251.148,21
Upper/X east,7490.0,2025-06-04 23:53:25.763,2025-06-04 23:55:31.340,125.577,10
Upper/X east,7490.0,2025-06-05 01:00:50.387,2025-06-05 01:19:46.017,1135.63,52
Upper/X east,7490.0,2025-06-05 01:28:51.346,2025-06-05 01:33:32.927,281.581,9
Upper/X east,7490.0,2025-06-05 01:35:01.486,2025-06-05 01:35:46.993,45.507,3
Upper/X east,7490.0,2025-06-05 08:23:43.110,2025-06-05 08:24:19.299,36.189,4
Upper/X east,7490.0,2025-06-05 09:51:06.883,2025-06-05 09:51:31.285,24.402,3
Upper/X east,7490.0,2025-06-05 20:20:05.464,2025-06-05 20:28:32.411,506.947,35
Upper/X east,7490.0,2025-06-09 06:03:13.829,2025-06-09 06:04:05.654,51.825,2
Upper/X east,7490.0,2025-06-10 06:44:54.811,2025-06-10 06:45:29.353,34.542,2
Upper/X east,7490.0,2025-06-10 16:46:17.178,2025-06-10 16:46:28.966,11.788,2
Upper/X east,7490.0,2025-06-11 02:11:31.637,2025-06-11 02:11:57.959,26.322,3
Upper/X east,7490.0,2025-06-11 13:55:59.049,2025-06-11 13:56:47.026,47.977,4
Upper/X east,7490.0,2025-06-12 04:56:08.134,2025-06-12 04:56:44.050,35.916,4
Upper/X east,7490.0,2025-06-13 05:36:25.824,2025-06-13 05:36:38.164,12.34,2
Upper/X east,7490.0,2025-06-15 05:58:30.143,2025-06-15 05:58:42.210,12.067,2
Upper/X east,7490.0,2025-06-15 17:16:48.770,2025-06-15 17:17:01.105,12.335,2
Upper/X east,7490.0,2025-06-15 17:24:28.557,2025-06-15 17:24:52.133,23.576,3
Upper/X east,7490.0,2025-06-15 23:48:35.653,2025-06-15 23:49:13.492,37.839,4
Upper/X east,7490.0,2025-06-20 06:49:12.925,2025-06-20 06:49:37.060,24.135,2
Upper/X east,7490.0,2025-06-21 09:03:17.683,2025-06-21 09:03:30.298,12.615,2
Upper/X east,7490.0,2025-06-22 05:00:21.306,2025-06-22 05:00:33.649,12.343,2
Upper/X east,7490.0,2025-06-22 05:37:03.208,2025-06-22 05:37:15.307,12.099,2
Upper/X east,7490.0,2025-06-22 06:29:32.118,2025-06-22 06:30:08.029,35.911,4
Upper/X east,7490.0,2025-06-22 09:05:43.420,2025-06-22 09:05:54.386,10.966,2
Upper/X east,7490.0,2025-06-22 13:30:43.939,2025-06-22 13:30:56.005,12.066,2
Upper/X east,7490.0,2025-06-25 00:46:11.196,2025-06-25 00:46:23.262,12.066,2
Upper/X east,7490.0,2025-06-25 06:51:23.046,2025-06-25 06:51:47.200,24.154,3
Upper/X east,7490.0,2025-06-27 06:31:26.073,2025-06-27 06:31:50.205,24.132,3
Upper/X east,7490.0,2025-06-28 06:52:04.941,2025-06-28 06:52:29.070,24.129,2
Upper/X east,7490.0,2025-06-28 09:11:24.632,2025-06-28 09:12:12.340,47.708,2
Upper/X east,7490.0,2025-06-29 01:39:09.803,2025-06-29 01:39:45.996,36.193,3
Upper/X east,7490.0,2025-06-29 05:06:10.514,2025-06-29 05:06:35.189,24.675,3
Upper/X east,7490.0,2025-06-29 06:11:58.014,2025-06-29 06:12:45.997,47.983,4
Upper/X east,7490.0,2025-06-29 23:51:24.952,2025-06-29 23:51:37.292,12.34,2
Upper/X east,7490.0,2025-06-30 14:30:41.793,2025-06-30 14:30:54.133,12.34,2
Upper/X east,7490.0,2025-07-01 13:12:33.926,2025-07-01 13:12:58.054,24.128,2
Upper/X east,7490.0,2025-07-02 04:08:46.956,2025-07-02 04:08:59.562,12.606,2
Upper/X east,7490.0,2025-07-03 01:53:29.057,2025-07-03 01:54:00.037,30.98,2
Upper/X east,7490.0,2025-07-03 01:56:19.317,2025-07-03 01:56:36.864,17.547,2
Upper/X east,7490.0,2025-07-04 06:15:04.785,2025-07-04 06:15:40.702,35.917,2
Upper/X east,7490.0,2025-07-04 07:57:32.513,2025-07-04 07:57:50.606,18.093,2
Upper/X east,7490.0,2025-07-04 09:34:07.872,2025-07-04 09:34:19.934,12.062,2
Upper/X east,7490.0,2025-07-04 12:29:43.219,2025-07-04 12:30:24.067,40.848,2
Upper/X east,7490.0,2025-07-05 06:30:01.402,2025-07-05 06:30:23.340,21.938,2
Upper/X east,7490.0,2025-07-05 07:55:12.246,2025-07-05 07:56:04.883,52.637,3
Upper/X east,7490.0,2025-07-05 07:57:18.638,2025-07-05 07:58:09.633,50.995,2
Upper/X east,7490.0,2025-07-07 06:35:28.131,2025-07-07 06:35:51.987,23.856,3
Upper/X east,7490.0,2025-07-07 08:00:27.771,2025-07-07 08:01:13.561,45.79,2
Upper/X east,7490.0,2025-07-08 08:02:04.264,2025-07-08 08:02:23.178,18.914,2
Upper/X east,7490.0,2025-07-09 06:25:08.748,2025-07-09 06:26:09.344,60.596,6
Upper/X east,7490.0,2025-07-10 09:47:52.283,2025-07-10 09:48:04.341,12.058,2
Upper/X east,7490.0,2025-07-10 13:53:08.792,2025-07-10 13:53:21.124,12.332,2
Upper/X east,7490.0,2025-07-12 08:17:23.203,2025-07-12 08:18:15.034,51.831,5
Upper/X east,7490.0,2025-09-11 00:49:02.109,2025-09-11 00:49:18.015,15.906,2
Upper/X east,7490.0,2025-09-11 21:00:56.051,2025-09-11 21:02:52.822,116.771,8
