date,total_episode_count,total_fault_duration_sec,unique_error_codes,motion_event_count,track_event_count,active_flag,rolling_7d_episode_count,rolling_7d_fault_duration,episode_trend_slope_14d,risk_episodes,risk_duration,risk_trend,combined_risk,health_index_raw,health_index,risk_level,health_score,critical_streak,yA,yB,yC,yD,score_A,score_B,score_CD,pA,pB,pC,pD,load_score_used
2017-05-03,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-04,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-05,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-06,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-07,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-08,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-09,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-10,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-11,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-12,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-13,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-14,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-15,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-16,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-17,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-18,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-19,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-20,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-21,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-22,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-23,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-24,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-25,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-26,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-27,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-28,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
